Country,Year,Status of country,Life Expectancy ,Adult Mortality,Infant Deaths,Alcohol,Hepatitis B,Measles , BMI ,Under-five Deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of country resources,Schooling
Afghanistan,2015,Developing,65,263,62,0.01,65,1154,19.1,83,6,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1
Afghanistan,2014,Developing,59.9,271,64,0.01,62,492,18.6,86,58,62,0.1,612.696514,327582,17.5,17.5,0.476,10
Afghanistan,2013,Developing,59.9,268,66,0.01,64,430,18.1,89,62,64,0.1,631.744976,31731688,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,59.5,272,69,0.01,67,2787,17.6,93,67,67,0.1,669.959,3696958,17.9,18,0.463,9.8
Afghanistan,2011,Developing,59.2,275,71,0.01,68,3013,17.2,97,68,68,0.1,63.537231,2978599,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,58.8,279,74,0.01,66,1989,16.7,102,66,66,0.1,553.32894,2883167,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,58.6,281,77,0.01,63,2861,16.2,106,63,63,0.1,445.8932979,284331,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,58.1,287,80,0.03,64,1599,15.7,110,64,64,0.1,373.3611163,2729431,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,57.5,295,82,0.02,63,1141,15.2,113,63,63,0.1,369.835796,26616792,19,19.1,0.415,8.4
Afghanistan,2006,Developing,57.3,295,84,0.03,64,1990,14.7,116,58,58,0.1,272.56377,2589345,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,57.3,291,85,0.02,66,1296,14.2,118,58,58,0.1,25.2941299,257798,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,57,293,87,0.02,67,466,13.8,120,5,5,0.1,219.1413528,24118979,19.5,19.7,0.381,6.8
Afghanistan,2003,Developing,56.7,295,87,0.01,65,798,13.4,122,41,41,0.1,198.7285436,2364851,19.7,19.9,0.373,6.5
Afghanistan,2002,Developing,56.2,3,88,0.01,64,2486,13,122,36,36,0.1,187.84595,21979923,19.9,2.2,0.341,6.2
Afghanistan,2001,Developing,55.3,316,88,0.01,63,8762,12.6,122,35,33,0.1,117.49698,2966463,2.1,2.4,0.34,5.9
Afghanistan,2000,Developing,54.8,321,88,0.01,62,6532,12.2,122,24,24,0.1,114.56,293756,2.3,2.5,0.338,5.5
Albania,2015,Developing,77.8,74,0,4.6,99,0,58,0,99,99,0.1,3954.22783,28873,1.2,1.3,0.762,14.2
Albania,2014,Developing,77.5,8,0,4.51,98,0,57.2,1,98,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2
Albania,2013,Developing,77.2,84,0,4.76,99,0,56.5,1,99,99,0.1,4414.72314,289592,1.3,1.4,0.759,14.2
Albania,2012,Developing,76.9,86,0,5.14,99,9,55.8,1,99,99,0.1,4247.61438,2941,1.3,1.4,0.752,14.2
Albania,2011,Developing,76.6,88,0,5.37,99,28,55.1,1,99,99,0.1,4437.17868,295195,1.4,1.5,0.738,13.3
Albania,2010,Developing,76.2,91,1,5.28,99,10,54.3,1,99,99,0.1,494.358832,291321,1.4,1.5,0.725,12.5
Albania,2009,Developing,76.1,91,1,5.79,98,0,53.5,1,98,98,0.1,4114.136545,2927519,1.5,1.6,0.721,12.2
Albania,2008,Developing,75.3,1,1,5.61,99,0,52.6,1,99,99,0.1,437.539647,2947314,1.6,1.6,0.713,12
Albania,2007,Developing,75.9,9,1,5.58,98,22,51.7,1,99,98,0.1,363.13685,29717,1.6,1.7,0.703,11.6
Albania,2006,Developing,74.2,99,1,5.31,98,68,5.8,1,97,97,0.1,35.1293,2992547,1.7,1.8,0.696,11.4
Albania,2005,Developing,73.5,15,1,5.16,98,6,49.9,1,97,98,0.1,279.142931,311487,1.8,1.8,0.685,10.8
Albania,2004,Developing,73,17,1,4.54,99,7,48.9,1,98,97,0.1,2416.588235,326939,1.8,1.9,0.681,10.9
Albania,2003,Developing,72.8,18,1,4.29,97,8,47.9,1,97,97,0.1,189.681557,339616,1.9,2,0.674,10.7
Albania,2002,Developing,73.3,15,1,3.73,96,16,46.9,1,98,98,0.1,1453.642777,3511,2,2.1,0.67,10.7
Albania,2001,Developing,73.6,14,1,4.25,96,18,46,1,97,97,0.1,1326.97339,36173,,2.1,0.662,10.6
Albania,2000,Developing,72.6,11,1,3.66,96,662,45,1,97,97,0.1,1175.788981,38927,,2.2,0.656,10.7
Algeria,2015,Developing,75.6,19,21,,95,63,59.5,24,95,95,0.1,4132.76292,39871528,,5.8,0.743,14.4
Algeria,2014,Developing,75.4,11,21,0.01,95,0,58.4,24,95,95,0.1,547.8517,39113313,,5.8,0.741,
Algeria,2013,Developing,75.3,112,21,0.53,95,25,57.2,24,95,95,0.1,5471.866766,38338562,,5.8,0.737,
Algeria,2012,Developing,75.1,113,21,0.66,95,18,56.1,24,95,95,0.1,5564.82566,37565847,,5.8,0.732,
Algeria,2011,Developing,74.9,116,21,0.56,95,112,55,24,95,95,0.1,5432.2523,36819558,,5.8,0.724,
Algeria,2010,Developing,74.7,119,21,0.45,95,103,53.9,24,95,95,0.1,4463.394675,36117637,,5.8,0.714,
Algeria,2009,Developing,74.4,123,20,0.5,94,107,52.8,23,94,95,0.1,3868.83123,3546576,,5.9,0.705,
Algeria,2008,Developing,74.1,126,20,0.46,91,217,51.8,23,92,93,0.1,495.254866,3486715,,5.9,0.697,
Algeria,2007,Developing,73.8,129,20,0.44,9,0,5.8,23,95,95,0.1,3935.183343,34376,,5.9,0.69,
Algeria,2006,Developing,73.4,132,20,0.36,8,944,49.8,23,95,95,0.1,3464.6179,33777915,,6,0.686,
Algeria,2005,Developing,72.9,136,19,0.5,83,2302,48.9,22,88,88,0.1,31.122378,33288437,,6,0.68,
Algeria,2004,Developing,72.3,14,19,0.45,81,3289,47.9,23,86,86,0.1,2598.9823,3283196,,6.1,0.673,
Algeria,2003,Developing,71.7,146,20,0.34,,15374,47,23,87,87,0.1,294.33556,3243514,,6.1,0.663,
Algeria,2002,Developing,71.6,145,20,0.36,,5862,46.1,23,86,86,0.1,1774.33673,3199546,,6.2,0.653,
Algeria,2001,Developing,71.4,145,20,0.23,,2686,45.3,24,89,89,0.1,1732.857979,31592153,,6.3,0.644,
Algeria,2000,Developing,71.3,145,21,0.25,,0,44.4,25,86,86,0.1,1757.17797,3118366,,6.4,0.636,
Argentina,2015,Developing,76.3,116,8,,94,0,62.8,9,93,94,0.1,13467.1236,43417765,,0.9,0.826,
Argentina,2014,Developing,76.2,118,8,7.93,94,1,62.2,9,92,94,0.1,12245.25645,42981515,,0.9,0.825,
Argentina,2013,Developing,76,119,8,8.28,94,0,61.6,10,99,94,0.1,12976.63642,42539925,,0.9,0.823,17.3
Argentina,2012,Developing,75.9,12,9,8.35,91,2,61,10,99,91,0.1,12969.7712,4296739,,0.9,0.822,17.2
Argentina,2011,Developing,75.7,12,9,8.11,91,3,6.4,10,93,91,0.1,12726.9836,41656879,,0.9,0.816,17.1
Argentina,2010,Developing,75.5,121,10,8.15,94,17,59.8,11,95,94,0.1,1276.265,41223889,,0.9,0.802,16.8
Argentina,2009,Developing,75.6,126,10,8.33,94,3,59.2,11,97,94,0.1,8161.36966,479947,,0.9,0.794,16.5
Argentina,2008,Developing,75.4,126,10,8.41,9,0,58.6,11,94,93,0.1,8953.359275,4382389,,0.9,0.792,16.3
Argentina,2007,Developing,74.8,129,10,8.16,85,0,58,12,92,91,0.1,7193.61764,3997224,,0.9,0.788,16.3
Argentina,2006,Developing,75.2,127,11,7.75,84,0,57.5,12,92,91,0.1,5878.76127,3955889,,0.9,0.782,16.1
Argentina,2005,Developing,74.9,127,11,7.53,88,0,56.9,12,95,98,0.1,576.883829,39145488,,1,0.78,16.3
Argentina,2004,Developing,74.7,13,11,7.63,81,0,56.3,12,91,98,0.1,4251.574348,38728696,,1,0.775,16.3
Argentina,2003,Developing,74.1,137,11,7.62,73,0,55.7,13,95,96,0.1,333.4376,3839379,,1,0.77,16.4
Argentina,2002,Developing,74.1,138,12,7.81,66,0,55.1,13,94,93,0.1,2579.193168,3788937,,1,0.776,16.3
Argentina,2001,Developing,74,138,12,7.76,,0,54.6,13,85,83,0.1,717.694674,3747159,,1.1,0.771,15.6
Argentina,2000,Developing,74.1,137,12,7.68,,6,54,14,88,83,0.1,7669.273916,3757452,,1.1,0.764,15
Australia,2015,Developed,82.8,59,1,,93,74,66.6,1,93,93,0.1,56554.3876,23789338,,0.6,0.937,20.4
Australia,2014,Developed,82.7,6,1,9.71,91,340,66.1,1,92,92,0.1,62214.6912,2346694,,0.6,0.936,20.4
Australia,2013,Developed,82.5,61,1,9.87,91,158,65.5,1,91,91,0.1,67792.3386,23117353,,0.6,0.933,20.3
Australia,2012,Developed,82.3,61,1,10.03,91,199,65,1,92,92,0.1,67677.63477,22728254,,0.6,0.93,20.1
Australia,2011,Developed,82,63,1,10.3,92,190,64.4,1,92,92,0.1,62245.129,223424,,0.6,0.927,19.8
Australia,2010,Developed,81.9,64,1,10.52,92,70,63.9,1,92,92,0.1,51874.848,223175,,0.6,0.927,19.5
Australia,2009,Developed,81.7,66,1,10.62,94,104,63.4,1,92,92,0.1,42742.99898,216917,,0.6,0.925,19.1
Australia,2008,Developed,81.3,66,1,10.76,94,65,62.9,1,92,92,0.1,49664.6854,212492,,0.6,0.921,19.1
Australia,2007,Developed,81.3,66,1,10.56,94,11,62.5,2,92,92,0.1,4991.98289,28276,,0.6,0.918,19
Australia,2006,Developed,81.2,66,1,10.31,95,0,62,2,92,92,0.1,36118.28381,26979,,0.6,0.915,
Australia,2005,Developed,81,67,1,10.3,95,10,61.5,2,92,92,0.1,3416.71483,23948,,0.6,0.91,
Australia,2004,Developed,86,69,1,9.84,95,70,6.9,1,92,92,0.1,3472.37977,21274,,0.6,0.908,
Australia,2003,Developed,83,71,1,9.97,95,91,6.3,1,92,93,0.1,23465.38559,198954,,0.7,0.905,
Australia,2002,Developed,79.9,73,1,9.84,95,32,59.6,2,92,92,0.1,281.81763,196514,,0.7,0.902,
Australia,2001,Developed,79.9,75,1,9.53,94,141,59,2,91,92,0.1,19517.84168,19413,,0.7,0.899,
